url,file,in_img,has_width,has_height
https://atandra.in,dist\protect\servo-stabilizers\product\single-phase-servo-stabilizer.html,0,0,0
https://atandra.in,dist\protect\servo-stabilizers\product\single-phase-servo-stabilizer.html,1,0,0
https://atandra.in,dist\protect\servo-stabilizers\product\three-phase-servo-stabilizer.html,0,0,0
https://atandra.in,dist\protect\servo-stabilizers\product\three-phase-servo-stabilizer.html,1,0,0
https://atandra.in,dist\protect\static-stabilizers\product\static-voltage-stabilizer.html,0,0,0
https://atandra.in,dist\protect\static-stabilizers\product\static-voltage-stabilizer.html,1,0,0
https://atandra.in,dist\protect\static-stabilizers\product\three-phase-static-voltage-regulator.html,0,0,0
https://atandra.in,dist\protect\static-stabilizers\product\three-phase-static-voltage-regulator.html,1,0,0
https://atandra.in,dist\protect\ups\product\eh-11-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\eh-11-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\eh-31-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\eh-31-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\eh-33-large-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\eh-33-large-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\eh-33-small-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\eh-33-small-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\el-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\el-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\hx-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\hx-series.html,1,0,0
https://atandra.in,dist\protect\ups\product\sx-series.html,0,0,0
https://atandra.in,dist\protect\ups\product\sx-series.html,1,0,0
https://atandra.in,dist\ssr\entry-server.js,0,0,0
https://atandra.in,dist\ssr\entry-server.js,0,0,0
https://atandra.in,dist.bak\index.html,0,0,0
https://atandra.in,dist.bak\index.html,1,0,0
https://atandra.in,dist.bak\about\careers.html,0,0,0
https://atandra.in,dist.bak\about\careers.html,1,0,0
https://atandra.in,dist.bak\about\certificates.html,0,0,0
https://atandra.in,dist.bak\about\certificates.html,1,0,0
https://atandra.in,dist.bak\about\company.html,0,0,0
